""
Attraction,Visitors
Grand Canyon,4500
Niagara Falls,6200
Eiffel Tower,8000
Great Wall of China,7500
Machu Picchu,5200
Pyramids of Giza,5800
Christ the Redeemer,3000
Colosseum,7000
Statue of Liberty,6700
Sydney Opera House,4900
Taj Mahal,8200
Disneyland,15000
Louvre Museum,9200
Mount Everest,2500
Yellowstone National Park,3500
Mount Fuji,4000
Banff National Park,3100
Santorini,6000
Venice Canals,4300
Galapagos Islands,3600
Great Barrier Reef,2900
Swiss Alps,2700
Amazon Rainforest,2200
Serengeti National Park,3700
""
