""
Field,Funding (Millions)
Astrophysics,6200
Planetary Science,5800
Exoplanet Research,5400
Cosmology,5200
Spacecraft Engineering,5000
Space Medicine,4800
Astronomy Education,4600
Astronomical Instrumentation,4400
Space Weather,4200
Radio Astronomy,4000
Observational Astronomy,3800
Theoretical Astronomy,3600
Gravitational Wave Research,3400
Dark Matter Studies,3200
Astrobiology,3000
Solar Physics,2800
Stellar Astrophysics,2600
Galactic Astronomy,2400
Interstellar Medium,2200
Space Policy,2000
""
