Quarter,Apple,Google,Amazon,Microsoft,Facebook
Q1 2019,58000,36900,59800,30500,15040
Q2 2019,53000,38900,63400,33200,16820
Q3 2019,64000,41000,70000,35000,17730
Q4 2019,91800,46100,87400,39800,21000
Q1 2020,58300,38200,75600,35000,17800
Q2 2020,59600,38300,88900,38000,18500
Q3 2020,64900,46000,96000,37100,21040
Q4 2020,111000,56000,125800,43100,28000
Q1 2021,89500,57000,108500,41000,26000
Q2 2021,81400,61200,113000,46100,29040
Q3 2021,83400,65100,110400,45700,29000
Q4 2021,123800,75000,137400,51400,33000
Q1 2022,94500,68200,116000,49900,29000
Q2 2022,83300,65800,121000,52000,30000
Q3 2022,85700,68900,118000,53100,31000
Q4 2022,127400,78900,144000,56000,34000
