""
Region,Attraction,Visits
North America,Grand Canyon,3000
North America,Niagara Falls,5000
North America,Yellowstone,2500
Europe,Eiffel Tower,7000
Europe,Colosseum,6500
Europe,Louvre Museum,6000
Asia,Great Wall of China,8000
Asia,Taj Mahal,7500
Asia,Mount Fuji,4000
South America,Christ the Redeemer,4500
South America,Machu Picchu,5000
South America,Amazon Rainforest,3500
Africa,Victoria Falls,3000
Africa,Pyramids of Giza,4000
Africa,Serengeti National Park,3500
Oceania,Great Barrier Reef,4500
Oceania,Sydney Opera House,5000
Oceania,Fiji Islands,3000
""
